"gene","rho_LGG","p_value_LGG","FDR_LGG","n_LGG","rho_GBM","p_value_GBM","FDR_GBM","n_GBM","delta_rho_LGG_minus_GBM","abs_delta_rho"
"S100PBP",0.583105572560732,2.50971881421079e-48,1.30790152706256e-46,516,-0.0143726409040069,0.809434003914894,0.885889968162259,284,0.597478213464739,0.597478213464739
"LINC01748",0.317271828084523,1.56987521940437e-13,1.47168637602675e-12,516,-0.280068733023022,1.624354785834e-06,2.45784724155154e-05,284,0.597340561107545,0.597340561107545
"MARCHF4",-0.570832085767761,6.00573206473229e-46,2.92473974197234e-44,516,0.0264383807974999,0.657288377066918,0.781558486048655,284,-0.597270466565261,0.597270466565261
"AC016717.2",-0.447622048930457,8.61312725562109e-27,1.81621564687305e-25,516,0.149516442470565,0.0116431327882981,0.0441730387579532,284,-0.597138491401022,0.597138491401022
"CYGB",-0.379780086201257,3.77781404176861e-19,5.22173949189015e-18,516,0.216578203011027,0.000235543987236919,0.00196021147510531,284,-0.596358289212285,0.596358289212285
"PRKCB",-0.259862796765096,2.07438453654415e-09,1.32861742464757e-08,516,0.336215021204033,6.20833191035135e-09,1.43467988796607e-07,284,-0.596077817969129,0.596077817969129
"ATP6V1G2",-0.528781041098061,1.64367696401043e-38,5.99825293113134e-37,516,0.0672478239344941,0.258661075624407,0.423288669364158,284,-0.596028865032555,0.596028865032555
"ZNF613",0.600319819330378,7.72090779836285e-52,4.57672405495609e-50,516,0.00568252363352516,0.924043176101334,0.957650565602768,284,0.594637295696853,0.594637295696853
"LINC00634",-0.486428740205528,5.27191872679331e-32,1.42974537107672e-30,516,0.107098308654232,0.0715329529658487,0.170990888495609,284,-0.59352704885976,0.59352704885976
"H1-3",0.292755428680039,1.17566823764432e-11,9.35286219022184e-11,516,-0.300642577886852,2.41553286667567e-07,4.2871749111701e-06,284,0.593398006566891,0.593398006566891
"AC087564.1",0.447943135811885,7.84713203291657e-27,1.65840754085855e-25,516,-0.14385737897723,0.0152549695204184,0.054072484555228,284,0.591800514789115,0.591800514789115
"SLC35F3",-0.406863913325961,5.42136118878349e-22,8.90544096875744e-21,516,0.184144861817634,0.00183154769599911,0.0105533978737236,284,-0.591008775143595,0.591008775143595
"RCAN2",-0.177948403588193,4.8054179766191e-05,0.000182552997215593,516,0.412723991335029,4.15390423841685e-13,1.60222071353234e-11,284,-0.590672394923222,0.590672394923222
"SEMA4A",-0.315912100262166,2.01587258827354e-13,1.87146521584487e-12,516,0.274622253183522,2.62405590750061e-06,3.76412642517272e-05,284,-0.590534353445687,0.590534353445687
"ZNF530",0.42875841055921,1.72774555030083e-24,3.22012780871145e-23,516,-0.16176358878583,0.00629354683048459,0.027715202588844,284,0.59052199934504,0.59052199934504
"ABCG1",-0.0574264161619158,0.192783516965868,0.31193281893879,516,0.533024069655051,3.01190351286576e-22,2.32006356232239e-20,284,-0.590450485816967,0.590450485816967
"PSD",-0.582878727091897,2.78300351057895e-48,1.44764872298449e-46,516,0.0072892628226117,0.902660882199179,0.94470462519347,284,-0.590167989914509,0.590167989914509
"SPRYD3",-0.321080609517131,7.73946079343015e-14,7.45837392838046e-13,516,0.267906864658286,4.67403834137888e-06,6.31439476308713e-05,284,-0.588987474175418,0.588987474175418
"P2RX5",-0.393118878976204,1.621169640745e-20,2.43957096897511e-19,516,0.195684278630683,0.000915464801530629,0.0060401976598669,284,-0.588803157606887,0.588803157606887
